description_text,workplace_address_city,driving_license_required,employment_type_label,working_hours_type_label
"Alla inom ett cafe/restaurang förekommande arbetsuppgifter, bla att ta emot beställningar både över disk och per telefon, kassa, bordsservering, tillredning av smörgåsar och sallader m.m.   Utbildning/Erfarenhet: Du ska gärna ha arbetat tidigare inom kök, cafe, konditori eller restaurang.",STOCKHOLM,No,,Deltid
"Alla inom ett cafe/restaurang förekommande arbetsuppgifter, bla att ta emot beställningar både över disk och per telefon, kassa, bordsservering, tillredning av smörgåsar och sallader m.m.   Utbildning/Erfarenhet: Du ska gärna ha arbetat tidigare inom kök, cafe, konditori eller restaurang.",Stockholm,No,,Heltid/Deltid
"Diskare till Thelins Konditori sökes.   Då arbetet innebär mycket kundkontakter, är det bra om du som sökande har goda kunskaper i det svenska språket.",STOCKHOLM,No,,Heltid
"Familj i Paris med en son på 8 år, en dotter på 3 år och en baby på 18 månader. Familjen bor i en våning där du har eget rum och delar badrum med barnen. Dottern går i förskolan 3 förmiddagar i veckan och sonen går i skolan varje dag. Ditt primära ansvar kommer att vara att ta hand om babyn och dottern.   Mamman arbetar som tandläkare och är 45 år. Pappan arbetar som försäljningsdirektör och är 42 år.  Nära till allt; affärer, restauranger, skolor, andra Au Pairer osv.  Familjens största intressen är working out; löpning, tennis, skidåkning, segling, golf, kultur.  Familjen behöver din hjälp med att ta hand om barnen när föräldrarna arbetar. Ditt arbete kommer innebära att förbereda frukost och hjälpa till på mornarna så barnen kommer iväg till skolan, hitta på aktiviteter med barnen när ni är ensamna, ta en promenad till parken, läsa, måla, leka utomhus, mm. Ansvara för babyn så att hon får mat, sover, leker och mår bra.  På plats i Paris finns vår partner agentur Accueil International som kommer att välkomna dig och sätta dig i kontakt med andra Au Pairer, hjälpa dig att hitta en passande skola, organisera möten och träffar samt finnas till hands för dig under din tid i Frankrike ifall du behöver råd eller stöd.",STOCKHOLM,No,,Deltid
" Nykvarns kommun är en liten och dynamisk kommun med goda kommunikationer både mot Eskilstuna/Strängnäs och Stockholm samt närhet till naturen.Antalet invånare ökar och därmed också kravet på kommunal service.All kommunal verksamhet är samlad i en enda förvaltning med kommunstyrelsen som verksamhetsnämnd.Totalt antal anställda uppgår till ca 570 personer.          Nykvarns kommun söker   Vik.lärare år 4,  100% till Björkestaskolan  from 6/11-06 alt 8/1-07 (ref.nr 66/2006)   Björkestaskolan är en F - 9 skola med ca 420 elever och ca 60 anställda.På Björkesta finns det fem arbetslag F-2, 3-5, 6-9, 8-9 och kök.Vi strävar efter och arbetar aktivt med att skapa en gemensam syn på lärandet, främst inom områdena språkutveckling, matematik, social- emotionell utveckling, SET och IKT.Vi vill att du är flexibel, initiativrik, ansvarstagande och har humor och tycker att samarbete och samsyn är en förutsättning för att kunna verka i skolan och i det perspektivet vara intresserad av att utveckla arbetsformer och arbetssätt.Vi vill att du också är kreativ och har förmåga att se möjligheter och engagera dig i att skapa ett stimulerande arbetsklimat för lärare och elever.Vi deltar i EU-projektet Växtkraft Mål 3 och det innebär att vi på skolan får tillgång till mycket kompetensutveckling under 2006-07.Läs mer om oss på vår hemsida www.nykvarn.se,  klicka på  skola och utbildning  och sedan på Björkestaskolan.Vi erbjuder subventionerad friskvård och lunch till självkostnadspris.Tjänsten är ett grav.vik  Vi ser gärna manliga sökanden då vi eftersträvar en jämnare könsfördelning.   Kvalifikationer:  Lärarutbildning  Upplysningar: Rektor Anne-Marie Julin,                    Vi använder oss av IT-stöd för rekryteringen och ser helst att du söker  tjänsten via vår hemsida www.nykvarn.se senast den 25 oktober 2006.",NYKVARN,No,,Heltid
"Dignus Medical Dignus har vært i rekrutteringsmarkedet i Norge siden 1999 og er i dag totalt 30 personer fordelt på Dignus og Dignus Medical.Dignus Medical, som er lokalisert i Oslo,(  se: www.Dignusmedical.no) leier ut og rekrutterer leger og spesialister.Dignus Medical Sverige (se:www.dignusmedical.se) er lokalisert i Malmø og har oppdrag i hele Sverige.Vi er i sterk vekst og har mange nye utfordrende oppdrag i Norge og Sverige.Vi har derfor behov for flere dyktige leger og spesialister.Vi søker psykiatere til faste stillinger  Søkere må ha norsk autorisasjon, beherske norsk, svensk eller Dansk.Gjerne polske leger som har jobbet i Norge.            Se nærmere informasjon om oss på vår hjemmeside: www.dignusmedical.no",,No,,Heltid/Deltid
"Arbetsuppgifter: Larmutryckning. Rondering.  Bakgrund: God hälsa och fysik. Psykisk stabilitet.  Personliga egenskaper: Ärlig. Ansvarskännande. Serviceinriktad. God förmåga att kommunicera med människor.  Utbildningsbakrund: Väktarutbildning 1 och 2. Utbildad hundförare med egen  godkänd hund.  Erfarenhet av larmutryckning.  Personliga egenskaper för: Eftersom rapportering till kunder och arbetsledning sker skriftligt, måste du kunna uttrycka dig väl i tal och skrift.",MALMÖ,No,,Heltid
"Duro-tapet är för många ett begrepp. Vår affärside bygger på en omtanke om kunden, vår miljö, svensk design och våra anställda. Utifrån detta har vi utvecklat effektiva system för tillverkning och försäljning av tapeter. Allt detta har resulterat i affärsmässiga framgångar och en stabil ekonomi. Duro har ca 50 anställda med fabrik och huvudkontor i Gävle.   Vi söker en person som har erfarenhet att snabbt kunna träda in i rollen som ekonomichefens ""högra hand"". De flesta arbetsuppgifterna tillhör den löpande redovisningen, månads- /årsbokslut och rapportering. Därutöver ingår kreditbevakning av kunder och allmänt kontorsarbete.  Du bör ha ekonomisk högskoleutbildning och erfarenhet av nämnda arbetsuppgifter. Som person vågar du ta för dig, är öppen och självständig.",GÄVLE,No,,Deltid
"  ÄLDREOMSORGEN Vi behöver dig som kan arbeta som vårdbiträde/undersköterska.Vi kan erbjuda vikariat inom:  Gruppbostad för dementa    Henån, Ellös och Varekil                ref.nr.21/2006 Hemtjänst       Över hela Orust kommun  ref.nr.22/2006 Äldreboende     Svanesund, Henån och Ellös      ref.nr.23/2006 Korttidsboende  Henån                   ref.nr.24/2006 Städenheten     Över hela Orust kommun  ref.nr.25/2006  Vikariat under perioden juni-augusti, varierande sysselsättningsgrad, dag- eller nattjänstgöring.Vi ser helst att Du har omvårdnadsprogrammet eller annan utbildning som arbetsgivaren prövar likvärdig.För samtliga tjänster ser vi gärna att Du har personliga egenskaper som innebär samarbetsförmåga, flexibilitet samt förmåga att arbeta självständigt.Vi ser gärna att Du har erfarenhet av arbete inom äldreomsorgen.Vi lägger stor vikt vid personligt lämplighet.För samtliga vikariat gäller att Du kommer att erbjudas brandskyddsutbildning samt att Du ska vara över 18 år.Inom hemtjänsten och städenheten är körkort ett krav.                               ref.nr.26/2006  sökes till hemsjukvården med varierande sysselsättningsgrad.Du ska vara legitimerad sjuksköterska.Körkort är ett krav.Sjuksköterskorna utgår från Henån och Ellös.Undersköterskor/Nattpatrullen                  ref.nr.27/2006  sökes till hemsjukvården med varierande sysselsättningsgrad.Endast nattjänstgöring.Du ska vara utbildad undersköterska.Körkort är ett krav.Nattpatrullen utgår från Henån och har hela Orust kommun som arbetsområde.   REHABENHETEN I HENÅN Rehabenheten ansvarar för rehabilitering i ordinärt och särskilt boende och dagrehabiliteringen.Vi söker:  Arbetsterapeuter                         ref.nr.28/2006 Sjukgymnaster                           ref.nr.29/2006 Hjälpmedelsreperatör                            ref.nr.30/2006  Upplysningar lämnas av: Assistent Birgitta Wirdesson 0304-343 36  BISTÅNDSENHETEN Social omsorgshandläggare                            ref.nr.31/2006  Vi söker semestervikarie under perioden juni-augusti.Som Social omsorgshandläggare gör Du biståndsutredningar och beslut enligt SoL.Vi söker dig som har utbildning från Sociala omsorgsprogrammet eller annan utbildning som arbetsgivaren prövas likvärdig.Du har dokumentations- och datorvara, är bra på att uttrycka dig i tal och skrift och har helst erfarenhet från arbetsområdet.Körkort är ett krav.Upplysningar lämnas av: Verksamhetschef Monica Sörensson 0304-343 41  SÄRSKILDA OMSORGER LSS/LASS OCH PSYKIATRI Vi behöver dig som kan arbeta som boendestödjare, habiliteringspersonal och personlig assistent.Vi kan erbjuda vikariat inom:  Korttidsboende barn LSS  Henån           ref.nr.32/2006 Gruppbostad för utvecklingsstörda       Henån och Svanesund     ref.nr.33/2006   Boendestöd psykiatri  Över hela Orust kommun  ref.nr.   Över hela Orust kommun  ref.nr.Du skall tycka om att arbeta med människor, ha förmåga att arbeta självständigt och i team samt ha ett reflekterande synsätt.Vi ser helst att Du som söker har lämplig utbildning och/eller erfarenhet av arbete med psykiskt utvecklingsstörda och funktionshindrade.",HENÅN,No,,Heltid/Deltid
"Truck & produktionspersonal sökes till en av våra uppdragsgivare med lokaler i Norrköping.Skiftgång förkommer.Vi söker dig som är alert, serviceinriktad och med lagervana.",NORRKÖPING,No,,Heltid
"Parkeringsövervakning syftar till att främja trafiksäkerheten, öka framkomligheten i trafiken och förbättra trivseln i boendemiljöer. Övervakningen sker med förnuft och förståelse för speciella angörings- och parkeringsbehov. Parkeringsvakten kontrollerar att fordon har parkerat rätt, att avgifter är erlagda samt att erforderliga tillstånd finns.   Som väktare skyddar du egendom, byggnader och lokaler mot brand, stöld och skador. Arbetet sker främst i industrier, kontor och verkstäder. Många kunder har larmanläggningar och en av arbetsuppgifterna kan vara att koppla till och från dessa. Vid arbetsplatsen kan olika typer av teknisk hjälp finnas exempelvis larmpaneler för driftlarm, inbrottslarm och brandlarm. Vid större företag är det också vanligt med övervakningskameror och fjärrstyrning av grindar och portar. Andra exempel på arbetsuppgifter kan vara att sköta företagets telefonväxel efter kontorstid, utföra rondering. Arbetsuppgifterna varierar från kund till kund.   Eftersom handhavandet av tekniska anläggningar är olika måste du vara intresserad av teknik och ha förmåga att förstå tekniska instruktioner. För att rapportera till våra kunder vad som gjorts under arbetet används ett datoriserat rondinformationssystem.  Bakgrund: - Fyllda 20 år  - Behärska svenska språket i tal och skrift  - God hälsa och fysik  - Psykisk stabilitet  - Förmåga att klara ensamarbete  - Drogfri, ostraffad, ha ordnad privatekonomi  - Körkort för bil och gärna två års erfarenhet av bilkörning  - Bli godkänd i för arbetsuppgifterna fastställda utbildningar  - Personliga egenskaper: - Ärlig - Ansvarskännande - Omdömesgill - Serviceinriktad - Praktisk och teknisk lagd - Stresstålig - Utbildningsbakgrund: - Fullgjord gymnasieutbildning eller motsvarande - Vid genomförd värnplikt, godkänt betyg - Erfarenhet av persondatorer är en merit - Väktarutbildning och/eller parkeringsutbildning för gatumark är en merit",ARLANDASTAD,No,,Heltid/Deltid
Poolia ActiveNurse søker intensiv sykepleier eller sykepleier med erfaring fra intensiv avdeling til oppdrag på sykehus i Midt-Norge.  Den vi søker må ha Norsk autorisasjon og minimum 2 års erfaring. Oppdragsperiode mellom uke 26 og 34.,,No,,Heltid
"Lernia Bemanning AB är Sveriges största nischade bemanningsföretag inom industri, teknik och logistik. Årsomsättningen är omkring 500 MKR och företaget har 1500 medarbetare på 40 olika orter i Sverige. Företaget är miljö- och kvalitetscertifierat.   Arbetsuppgifter: För kunders räkning söker vi en erfaren ventilationsplåtslagare med erfarenhet av montage på byggarbetsplatser, som är intresserad av att arbeta på kontor med orderberedning, kalkylering och service till säljavdelningen.  Som person ska du vara ansvarstagande, kvalitetsmedveten och serviceinriktad samt ha mycket god kunskap om ventilationsplåtslageri. Arbetsplatsen är belägna i Malmö",Lund,No,,Heltid
"Office Partner är ett relativt litet företag inom bemanning och rekryteringsbranschen.  Sedan starten 1986 har vi med handplockad personal haft ett  personligt samarbete med flera stora och små företag. Bland våra kunder återfinns några av Sveriges ledande företag inom Telecom, Juridik, Inkasso, Läkemedel, Transport och IT.   Just nu söker vi en ekonomiassistent för en rekrytering till ett trevligt fastighetsbolag i City.  Arbetsuppgifter:   Konteringar, avstämningar, periodiseringar m.m.  Kvalifikationer: Minst 3-årigt ekonomiskt gymnsium gärna med ekonomisk påbyggnad.  Tidigare erfarenhet av liknade arbetsuppgifter och gärna inom fastighetsbranschen, mycket god svenska samt engelska i tal och skrift. Behärska Officepaketet väl och Excel mycket väl.  Meriterande med tidigare erfarenhet av arbete i Hogia.  Personliga egenskaper: Du är en glad person som tycker om att träffa nya människor. Du är strukturerad, ansvarstagande och utvecklingsbenägen. Du har lätt för att samarbeta och anser att problem är till för att lösas.   OBS! Tjänsten skall tillsättas snarast möjligt! Bostad i Stockholm kan ev. ordnas.  Bifoga löneanspråk med din ansökan.",HÄGERSTEN,No,,Heltid
Vi har uppdrag i Jönköpings län.Sedvanliga arbetsuppgfiter.Du avgör själv hur många veckor du vill arbeta åt oss.,UPPSALA,No,,Heltid
"Handikapp & Habilitering, Habiliteringscenter Täby för barn och ungdom  Habiliteringscenter Täby för barn arbetar med barn 0-16 år med funktionshinder  och deras familjer.Vårt upptagningsområde är kommunerna Danderyd, Lidingö,  Täby, Vallentuna och Österåker.Vi arbetar i tre team och behöver nu en  LOGOPED Vikariat tom 2006-12-31, heltid/deltid, flextid tillämpas.Tillträde enligt  överenskommelse.Du får chansen att pröva ett intressant och brett arbetsområde, som ger goda  möjligheter till yrkesmässig utveckling.Du kommer att arbeta i ett  tvärfackligt team där du samarbetar med arbetsterapeut, kurator, psykolog,  specialpedagog och sjukgymnast.Arbetsuppgifter: Konsultation och handledning som riktar sig till föräldrar och  personal.Logopeden arbetar också med bedömning och behandling av språk- och  kommunikationsstörningar samt ät-, drick- och sväljproblem hos barn och  ungdomar med funktionshinder.En erfaren kollega finns på kontoret och övriga barnlogopeder inom  barnhabiliteringen samlas vid logopedernas återkommande yrkesträffar och  seminariedagar.Du får även regelbunden teamhandledning.Kvalifikationer:Legitimerad logoped.Erfarenhet av habiliteringsarbete är  meriterande.Stor vikt läggs vid personlig lämplighet och god samarbetsförmåga.Välkommen med din ansökan märkt med ref nr Hab 1/06 senast den 27 januari 2006  ställd till: Habiliteringscenter Täby för barn och ungdom, Kemistvägen 8, 1tr,  183 79 Täby.",--,No,,Heltid/Deltid
"Skolhagenskolan i Täby kyrkby söker omgående lärare i Svenska och Engelska för årskurserna 6-9. Tjänsten är ett vikariat under vårterminen men förlängning kan bli aktuell. Skolan har höga ambitioner och utmärkta resultat. Kommunikationerna är goda och Roslagsbanan stannar ""i skolan""",TÄBY,No,,Heltid
"Verksamhetsbeskrivning
Inside & Living är en inredningsbutik med dansk design. Vi har möbler, presentartiklar, kläder, smycken och ett café.
Arbetsuppgifter
Försäljning, data, reklam, marknadsföring mm.
Utbildning/Erfarenhet
Vi vill att du har minst 5 års arbetslivserfarenhet av något slag. Du skall ha känsla för färg och form och vara intresserad av inredning samt av att ge service.",,No,,Deltid
Då vår sekreterare ska vara mammaledig söker vi nu en vikarie.  Arbetsuppgifterna består bl a av: - Utskrifter av brev och kunddokument. - Bokning av resor och hotell. - Posthantering. - Ta emot inkommande samtal till vår växel.  Vi söker dig som - Är ordningsam och noggrann. - Är ansvarstagande och serviceinriktad. - Behärskar Officepaketet väl. - Har gymnasieutbildning.,TÄBY,No,,Heltid
"Jag behöver en glad tandsköterska som kan hjälpa mig med assistens, sterilarbete samt beställning av varor mm. Du har naturligtvis tandsköterskeexamen. Sökande med utbildning i anestesi och annat delegerat arbete samt flera års vana är önskvärt. Du har datavana och goda svenskakunskaper. Vi använder OPUS journalprogram. Du har glatt humör och vilja att arbeta självständigt. Kvällsarbete en kväll i veckan.  Vi är med i Addera och arbetar med utveckling av verksamheten så du har chansen att vara med och bygga upp en verksamhet som är effektiv och rolig för alla medarbetare.  Mottagningen är byggd 2004 belägen i affärscentrum. Digital röntgen och datoriserat journalhanteringsprogram.  Vi är två tandläkare med var sin tandsköterska samt en tandhygienist.  Tillträdesdag: 2006-03-01",Täby,No,,Deltid
"För att kunna hantera vår snabbt växande kundbas behöver vi förstärka SuperOffice Support med ytterligare supporttekniker. Som supporttekniker hos SuperOffice tar du hand om våra kunder som använder vårt CRM-system, SuperOffice CRM. Du kommer att vara rösten utåt och därför är det av största vikt att du har god social kompetens och kan hantera alla typer av människor. Du måste ha en mycket stor portion tålamod, gilla problemlösning och verkligen känna att du vill hjälpa våra användare. Förutom att ta hand om våra kunder skall du ge samma höga service till våra partner och de egna medarbetarna. Arbetet sker främst via telefon, men många ärenden hanteras också via e-post. Du måste kunna arbeta såväl självständigt som i grupp.  Vi utgår från att du har mycket goda kunskaper om Microsofts produkter såsom MS Windows (samtliga varianter), MS Office (samtliga varianter) samt MS SQL Server (version 2000/2005).  För att kunna hantera den tekniska delen av supportarbetet är det även en fördel om du, förutom de ovan nämnda produkterna, har erfarenhet inom följande områden:  SQL IIS Active Directory Lotus Notes  Vi vill ha din ansökan snarast dock senast 20 februari 2006.",TÄBY,No,,Heltid
"Nordisk Rygghälsa AB arbetar sedan 1991 med att hjälpa företag, kommuner och landsting att förebygga belastningsskador bland personalen. Den metod vi arbetar med bygger på avlastning som motsats till den ständiga belastning kroppen utsätts för. Metoden är en självbehandlingsmetod och redskapet som används är Mastercare - Svenska Hälsobänken. Metoden är vetenskapligt utvärderad på Volvo Aero och bevisat effektiv vid besvär i rygg, nacke, axlar, knä och höfter.   Vi söker nu 1säljare till  del av Stockholms län För att trivas hos oss tror vi att du har viss erfarenhet av  * Uppsökande försäljning * Insikten om att du som säljare styr din lön. * Förmåga att hantera såväl helhet som detaljer. * Kunna arbeta ensam så väl som i grupp * Omsätta visioner och ideer till konkret handling. * Vara fokuserad , målinriktad och uthållig    Arbetsuppgift:  * Ha budget- och utvecklingsansvar på ditt distrikt * Själv boka besök  via tel eller via direktbesök  * Sälja in vårt koncept till företag kommuner landsting etc.  Bakgrund:  * Vi ser mer framåt än bakåt . * Du får gärna ha livserfarenhet  Nordisk Rygghälsa AB  erbjuder   * Ett fritt arbete med stort egenansvar. * Arbeta i ett företag som specialiserat sig  inom ett     snabbt växande område:    FRISKVÅRD * Utbildning på koncept såväl som på  produkt. * Kontinuerligt  stöd och uppföljning. * Lön efter prestation.  Innan du söker :  Gå in på vår hemsida www.rygghalsa.se  Maila sedan in några rader om dig själv och motivera varför du tror att du skulle lyckas och passa in i vårt säljteam (EJ MER ÄN ETT A4)   Vi ser fram emot din ansökan !",GÖTEBORG,No,,Heltid
"Social omsorg Allegårdens gruppboende  söker  UNDERSKÖTERSKA/VÅRDBITRÄDE, 75%  Tjänsten är ett vikariat t o m augusti 2006 med eventuell förlängning, tjänstgöring dag, kväll och helger.Kvalifikation:  utbildning/erfarenhet i demenssjukdom.Tillträde: mellan 1 april till den 10 april 2006, enligt överenskommelse.   ",TÄBY,No,,Heltid
"Sting Networks är en kommunikationsleverantör som tillhandahåller IP-telefoni tjänster till partners runt om i Sverige och i Europa. På vårt kontor i Kista arbetar cirka 15 personer.  Vi söker nu en receptionist och kontors-allt-i-allo. I arbetsuppgifterna ingår följande: Ta emot besökare Sköta inköp till kontoret Svara i telefon Förbereda inför kundbesök och hålla konferensrummet i ordning Se till att kontoret är rent och snyggt Posthantering Assistera med telefonpassning, brevskrivning o. dyl.  Vi söker en person med erfarenhet av liknande arbete. Du ska kunna lösa allmänt förekommande uppgifter på kontoret samt med god service ta hand om besökare, anställda och kontoret. För att passa på tjänsten önskar vi att du har goda kunskaper i engelska och svenska både i tal och i skrift. Vi förutsätter att du har goda datorkunskaper, är serviceinriktad och noggrann. Vi tror att du är prestigelös och tycker om att träffa nya människor, har lätt för att kommunicera och tycker om ordning och reda. Vi vill att du har avslutat gymnasiet, gärna med ekonomisk inriktning. Du är självgående och har en mycket hög service-känsla.",Kista,No,,Heltid
"Micronic Laser Systems är en världsledande tillverkare av laserritare för framställning av fotomasker för tillverkning av bland annat halvledare och bildskärmar.Micronic är ett börsnoterat företag på OM Stockholmsbörsen.Kunderna är världens största elektronikindustrier i Asien och USA.Våra framgångar bygger på att hela tiden ligga längst fram på teknikens område och för utveckling av våra produkter erfordras kompetens från alla fakulteter inom en teknisk högskola.Vi är idag över 400 anställda, varav drygt en tredjedel är inriktade på FoU.Kundsupport är viktig i vår verksamhet och vi finns representerade via våra dotterbolag i USA, Japan och Taiwan.Vårt huvudkontor ligger i Täby.TEKNIKUTBILDARE  Micronic Laser Systems i Täby förstärker sin organisation med ytterligare en utbildare till affärsområdet Display  Vi söker dig som är ingenjör på civil- eller högskolenivå med en pedagogisk påbyggnad.Du har erfarenhet av undervisning och gärna erfarenheter av arbete med certifiering av serviceingenjörer.Som teknikutbildare kommer du att arbeta självständigt med metodutveckling och undervisning.Metodutvecklingen innebär att sätta standarder för certifieringar, att bygga vidare på befintligt utbildnings material och att utarbeta riktlinjer för kompetensöverföring inom företaget.I ditt arbete kommer du att fungera som en länk mellan vår utvecklingsavdelning och serviceorganisationen.Undervisningen riktar sig i första hand till serviceingenjörer på våra dotterbolag, men även till nyanställa ingenjörer på vårt huvudkontor i Täby samt i viss mån till våra kunder.   Tjänsten ställer stora krav på självständighet, social kompetens och flexibilitet.Mycket goda kunskaper i engelska är en förutsättning.Den största delen av vår kundbas och servicepersonal befinner sig i Japan, Taiwan, Kina och Korea.Därför ser vi det som en merit om du har erfarenhet av Asiatisk kultur och/eller har kunskaper i något asiatiskt språk.Tjänsten innefattar resor.Din ansökan skickar du, via mail eller post, märkt ""Micronic -Teknikutbildare"", senast den 3 april, till:   ",STOCKHOLM,No,,Heltid
"Dina arbetsuppgifer blir att leverera drycker till våra kunder i Stor-Stockholm. Du bör ha god lokalkännedom,god fysik,ordningsinne och förmågan att arbeta självständigt",TÄBY,No,,Heltid
